epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.05,1.40574,1,1,0.3358,0.000330128,0.000330128,0.000330128
2,25.8552,0.60453,1,1,0.05845,0.000597779,0.000597779,0.000597779
3,36.87,0.40487,1,1,0.01738,0.000799429,0.000799429,0.000799429
4,47.4031,0.4034,0.98611,1,0.02666,0.000703,0.000703,0.000703
5,58.5274,0.30499,1,1,0.00647,0.000604,0.000604,0.000604
6,69.8409,0.30439,1,1,0.00751,0.000505,0.000505,0.000505
7,80.4973,0.25533,1,1,0.0178,0.000406,0.000406,0.000406
8,93.0035,0.25495,1,1,0.00869,0.000307,0.000307,0.000307
9,105.384,0.21321,1,1,0.01213,0.000208,0.000208,0.000208
10,118.175,0.25271,1,1,0.00523,0.000109,0.000109,0.000109
